id,anio,mun,estratos,sexo,edad,total,total_low,total_upp,dim,nomgeo
14,2015.0,3.0,Pobreza muy alta,Hombre,45-59,901.0,624582885098000.0,117741711490000.0,Bienes Durables,Coyoacán
15,2015.0,3.0,Pobreza muy alta,Mujer,0-11,1011.0,548324695348000.0,147367530465000.0,Bienes Durables,Coyoacán
16,2015.0,3.0,Pobreza muy alta,Mujer,12-29,1596.0,114053883016000.0,205146116984000.0,Bienes Durables,Coyoacán
17,2015.0,3.0,Pobreza muy alta,Mujer,30-44,1321.0,882437387604000.0,17595626124000.0,Bienes Durables,Coyoacán
18,2015.0,3.0,Pobreza alta,Hombre,30-44,2037.0,137008472009000.0,270391527991000.0,Bienes Durables,Coyoacán
19,2015.0,3.0,Pobreza alta,Hombre,45-59,960.0,605536560070000.0,131446343993000.0,Bienes Durables,Coyoacán
20,2015.0,3.0,Pobreza alta,Mujer,30-44,1991.0,141174336950000.0,257025663050000.0,Bienes Durables,Coyoacán
21,2015.0,3.0,Pobreza alta,Mujer,60 y mas,998.0,597123987953000.0,139887601205000.0,Bienes Durables,Coyoacán
22,2015.0,3.0,Pobreza moderada,Hombre,12-29,10597.0,82449306410600.0,129490693589000.0,Bienes Durables,Coyoacán
23,2015.0,3.0,Pobreza moderada,Hombre,45-59,5848.0,470733668257000.0,698866331743000.0,Bienes Durables,Coyoacán
24,2015.0,3.0,Pobreza moderada,Hombre,60 y mas,5040.0,427088880323000.0,580911119677000.0,Bienes Durables,Coyoacán
25,2015.0,3.0,Pobreza moderada,Mujer,30-44,8574.0,691540741145000.0,102325925886000.0,Bienes Durables,Coyoacán
26,2015.0,3.0,Pobreza moderada,Mujer,45-59,7436.0,601353167242000.0,885846832758000.0,Bienes Durables,Coyoacán
27,2015.0,3.0,Pobreza moderada,Mujer,No especificado,63.0,-233335475549000.0,149333547555000.0,Bienes Durables,Coyoacán
28,2015.0,3.0,Satisfaccion mínima,Hombre,30-44,14402.0,11784105536400.0,17019894463600.0,Bienes Durables,Coyoacán
29,2015.0,3.0,Satisfaccion mínima,Hombre,45-59,9640.0,755814340205000.0,117218565980000.0,Bienes Durables,Coyoacán
30,2015.0,3.0,Satisfaccion mínima,Mujer,0-11,8620.0,650454281789000.0,107354571821000.0,Bienes Durables,Coyoacán
31,2015.0,3.0,Estrato alto,Hombre,0-11,21245.0,178002318876000.0,246897681124000.0,Bienes Durables,Coyoacán
32,2015.0,3.0,Estrato alto,Hombre,45-59,35114.0,299225093170000.0,403054906830000.0,Bienes Durables,Coyoacán
33,2015.0,3.0,Estrato alto,Mujer,45-59,41269.0,347926582408000.0,477453417592000.0,Bienes Durables,Coyoacán
34,2015.0,3.0,Estrato alto,Mujer,60 y mas,36708.0,308419450271000.0,425740549729000.0,Bienes Durables,Coyoacán
35,2015.0,4.0,Pobreza muy alta,Hombre,0-11,1273.0,717309516444000.0,182869048356000.0,Bienes Durables,Cuajimalpa de Morelos
36,2015.0,4.0,Pobreza muy alta,Hombre,30-44,1266.0,797031590938000.0,173496840906000.0,Bienes Durables,Cuajimalpa de Morelos
37,2015.0,4.0,Pobreza muy alta,Mujer,0-11,1258.0,66586696706900.0,185013303293000.0,Bienes Durables,Cuajimalpa de Morelos
38,2015.0,4.0,Pobreza muy alta,Mujer,30-44,876.0,517377051472000.0,123462294853000.0,Bienes Durables,Cuajimalpa de Morelos
39,2015.0,4.0,Pobreza alta,Hombre,12-29,1249.0,895679376085000.0,160232062392000.0,Bienes Durables,Cuajimalpa de Morelos
40,2015.0,4.0,Pobreza alta,Hombre,30-44,1084.0,572300285782000.0,159569971422000.0,Bienes Durables,Cuajimalpa de Morelos
41,2015.0,4.0,Pobreza alta,Hombre,45-59,373.0,173556359502000.0,572443640498000.0,Bienes Durables,Cuajimalpa de Morelos
42,2015.0,4.0,Pobreza alta,Mujer,12-29,1475.0,972553987241000.0,197744601276000.0,Bienes Durables,Cuajimalpa de Morelos
43,2015.0,4.0,Pobreza alta,Mujer,45-59,541.0,293780742667000.0,788219257333000.0,Bienes Durables,Cuajimalpa de Morelos
44,2015.0,4.0,Pobreza moderada,Hombre,45-59,1889.0,132101854838000.0,245698145162000.0,Bienes Durables,Cuajimalpa de Morelos
45,2015.0,4.0,Pobreza moderada,Hombre,60 y mas,1174.0,728849163163000.0,161915083684000.0,Bienes Durables,Cuajimalpa de Morelos
46,2015.0,4.0,Pobreza moderada,Mujer,0-11,3089.0,223964030969000.0,393835969031000.0,Bienes Durables,Cuajimalpa de Morelos
47,2015.0,4.0,Pobreza moderada,Mujer,45-59,2434.0,177502260594000.0,309297739406000.0,Bienes Durables,Cuajimalpa de Morelos
48,2015.0,4.0,Pobreza moderada,Mujer,60 y mas,1952.0,132719399037000.0,257680600963000.0,Bienes Durables,Cuajimalpa de Morelos
49,2015.0,4.0,Satisfaccion mínima,Hombre,30-44,3815.0,28652643882800.0,47647356117200.0,Bienes Durables,Cuajimalpa de Morelos
50,2015.0,4.0,Satisfaccion mínima,Mujer,0-11,3141.0,206431781754000.0,421768218246000.0,Bienes Durables,Cuajimalpa de Morelos
51,2015.0,4.0,Satisfaccion mínima,Mujer,60 y mas,1781.0,109055651313000.0,247144348687000.0,Bienes Durables,Cuajimalpa de Morelos
52,2015.0,4.0,Estrato alto,Hombre,45-59,9580.0,674610028016000.0,124138997198000.0,Bienes Durables,Cuajimalpa de Morelos
53,2015.0,4.0,Estrato alto,Hombre,60 y mas,5638.0,396734665011000.0,730865334989000.0,Bienes Durables,Cuajimalpa de Morelos
54,2015.0,4.0,Estrato alto,Mujer,30-44,14117.0,100099328892000.0,182240671108000.0,Bienes Durables,Cuajimalpa de Morelos
55,2015.0,4.0,Estrato alto,Mujer,45-59,10019.0,714340384081000.0,128945961592000.0,Bienes Durables,Cuajimalpa de Morelos
56,2015.0,5.0,Pobreza muy alta,Mujer,0-11,5250.0,388144051375000.0,661855948625000.0,Bienes Durables,Gustavo A. Madero
57,2015.0,5.0,Pobreza muy alta,Mujer,30-44,4856.0,394339052665000.0,576860947335000.0,Bienes Durables,Gustavo A. Madero
58,2015.0,5.0,Pobreza muy alta,Mujer,45-59,2781.0,214673655536000.0,341526344464000.0,Bienes Durables,Gustavo A. Madero
59,2015.0,5.0,Pobreza muy alta,Mujer,No especificado,25.0,-340075895553000.0,840075895553000.0,Bienes Durables,Gustavo A. Madero
60,2015.0,5.0,Pobreza alta,Hombre,12-29,7543.0,550437681543000.0,958162318457000.0,Bienes Durables,Gustavo A. Madero
61,2015.0,5.0,Pobreza alta,Hombre,60 y mas,2282.0,163244353970000.0,293155646030000.0,Bienes Durables,Gustavo A. Madero
62,2015.0,5.0,Pobreza alta,Mujer,45-59,3702.0,266785024845000.0,473614975155000.0,Bienes Durables,Gustavo A. Madero
63,2015.0,5.0,Pobreza moderada,Hombre,45-59,17211.0,149462937006000.0,194757062994000.0,Bienes Durables,Gustavo A. Madero
64,2015.0,5.0,Pobreza moderada,Hombre,60 y mas,15171.0,127778230965000.0,175641769035000.0,Bienes Durables,Gustavo A. Madero
65,2015.0,5.0,Pobreza moderada,Mujer,12-29,29661.0,251877509278000.0,341342490722000.0,Bienes Durables,Gustavo A. Madero
66,2015.0,5.0,Pobreza moderada,Mujer,30-44,25143.0,213901077902000.0,288958922098000.0,Bienes Durables,Gustavo A. Madero
67,2015.0,5.0,Pobreza moderada,Mujer,45-59,21630.0,183648814822000.0,248951185178000.0,Bienes Durables,Gustavo A. Madero
68,2015.0,5.0,Pobreza moderada,Mujer,60 y mas,24191.0,209036707746000.0,274783292254000.0,Bienes Durables,Gustavo A. Madero
69,2015.0,5.0,Satisfaccion mínima,Hombre,12-29,50996.0,438998461068000.0,580921538932000.0,Bienes Durables,Gustavo A. Madero
70,2015.0,5.0,Satisfaccion mínima,Hombre,No especificado,70.0,-305133008299000.0,170513300830000.0,Bienes Durables,Gustavo A. Madero
71,2015.0,5.0,Satisfaccion mínima,Mujer,12-29,48724.0,424270543212000.0,550209456788000.0,Bienes Durables,Gustavo A. Madero
72,2015.0,5.0,Estrato alto,Hombre,60 y mas,39396.0,346659216705000.0,441260783295000.0,Bienes Durables,Gustavo A. Madero
73,2015.0,5.0,Estrato alto,Mujer,12-29,66738.0,592008160208000.0,742751839792000.0,Bienes Durables,Gustavo A. Madero
74,2015.0,5.0,Estrato alto,Mujer,60 y mas,44835.0,399614459379000.0,497085540621000.0,Bienes Durables,Gustavo A. Madero
75,2015.0,5.0,Estrato alto,Mujer,No especificado,233.0,242026387683000.0,4417973612320.0,Bienes Durables,Gustavo A. Madero
76,2015.0,6.0,Pobreza muy alta,Hombre,0-11,534.0,272631933838000.0,795368066162000.0,Bienes Durables,Iztacalco
77,2015.0,6.0,Pobreza alta,Hombre,30-44,959.0,439624029743000.0,147837597026000.0,Bienes Durables,Iztacalco
78,2015.0,6.0,Pobreza moderada,Hombre,0-11,5440.0,37037047781500.0,71762952218500.0,Bienes Durables,Iztacalco
79,2015.0,6.0,Pobreza moderada,Hombre,12-29,9217.0,669412906323000.0,117398709368000.0,Bienes Durables,Iztacalco
80,2015.0,6.0,Pobreza moderada,Hombre,30-44,7180.0,550355585551000.0,885644414449000.0,Bienes Durables,Iztacalco
81,2015.0,6.0,Pobreza moderada,Mujer,0-11,5336.0,380147614263000.0,687052385737000.0,Bienes Durables,Iztacalco
82,2015.0,6.0,Pobreza moderada,Mujer,30-44,7558.0,560354169980000.0,951245830020000.0,Bienes Durables,Iztacalco
83,2015.0,6.0,Pobreza moderada,Mujer,60 y mas,7198.0,584386867933000.0,855213132067000.0,Bienes Durables,Iztacalco
84,2015.0,6.0,Satisfaccion mínima,Hombre,0-11,7765.0,579711420844000.0,973288579156000.0,Bienes Durables,Iztacalco
85,2015.0,6.0,Satisfaccion mínima,Mujer,60 y mas,9734.0,80505855586100.0,114174144414000.0,Bienes Durables,Iztacalco
86,2015.0,6.0,Estrato alto,Hombre,30-44,22032.0,179770785959000.0,260869214041000.0,Bienes Durables,Iztacalco
87,2015.0,6.0,Estrato alto,Hombre,45-59,18571.0,159721866253000.0,211698133747000.0,Bienes Durables,Iztacalco
88,2015.0,6.0,Estrato alto,Hombre,60 y mas,12294.0,988399121356000.0,147040087864000.0,Bienes Durables,Iztacalco
89,2015.0,6.0,Estrato alto,Mujer,0-11,12112.0,96758062709900.0,145481937290000.0,Bienes Durables,Iztacalco
90,2015.0,7.0,Pobreza muy alta,Hombre,0-11,13508.0,103159012863000.0,167000987137000.0,Bienes Durables,Iztapalapa
91,2015.0,7.0,Pobreza muy alta,Hombre,12-29,16051.0,128302407290000.0,192717592710000.0,Bienes Durables,Iztapalapa
92,2015.0,7.0,Pobreza alta,Hombre,12-29,16741.0,14223245650000.0,19258754350000.0,Bienes Durables,Iztapalapa
93,2015.0,7.0,Pobreza alta,Hombre,60 y mas,4466.0,354284175779000.0,538915824221000.0,Bienes Durables,Iztapalapa
94,2015.0,7.0,Pobreza alta,Mujer,0-11,11388.0,904643615181000.0,137295638482000.0,Bienes Durables,Iztapalapa
95,2015.0,7.0,Pobreza alta,Mujer,30-44,13299.0,109933685555000.0,156046314445000.0,Bienes Durables,Iztapalapa
96,2015.0,7.0,Pobreza alta,Mujer,60 y mas,5884.0,466911251157000.0,709888748843000.0,Bienes Durables,Iztapalapa
97,2015.0,7.0,Pobreza moderada,Mujer,12-29,56642.0,511397337759000.0,621442662241000.0,Bienes Durables,Iztapalapa
98,2015.0,7.0,Pobreza moderada,Mujer,60 y mas,34414.0,306761599977000.0,381518400023000.0,Bienes Durables,Iztapalapa
99,2015.0,7.0,Satisfaccion mínima,Hombre,12-29,75808.0,696768959687000.0,819391040313000.0,Bienes Durables,Iztapalapa
100,2015.0,7.0,Satisfaccion mínima,Hombre,30-44,47927.0,432973265122000.0,525566734878000.0,Bienes Durables,Iztapalapa
101,2015.0,7.0,Satisfaccion mínima,Hombre,45-59,36846.0,332064408064000.0,404855591936000.0,Bienes Durables,Iztapalapa
102,2015.0,7.0,Satisfaccion mínima,Hombre,60 y mas,21613.0,191408547241000.0,240851452759000.0,Bienes Durables,Iztapalapa
103,2015.0,7.0,Satisfaccion mínima,Mujer,No especificado,216.0,-121651019159000.0,444165101916000.0,Bienes Durables,Iztapalapa
104,2015.0,7.0,Estrato alto,Hombre,0-11,58939.0,536749077231000.0,642030922769000.0,Bienes Durables,Iztapalapa
105,2015.0,7.0,Estrato alto,Hombre,No especificado,207.0,-536999929680000.0,467699992968000.0,Bienes Durables,Iztapalapa
106,2015.0,7.0,Estrato alto,Mujer,12-29,103306.0,934736993249000.0,113138300675000.0,Bienes Durables,Iztapalapa
107,2015.0,7.0,Estrato alto,Mujer,30-44,93397.0,85170433357500.0,101623566642000.0,Bienes Durables,Iztapalapa
108,2015.0,7.0,Estrato alto,Mujer,45-59,73288.0,665507641965000.0,800252358035000.0,Bienes Durables,Iztapalapa
109,2015.0,8.0,Pobreza muy alta,Hombre,0-11,1363.0,670928499057000.0,205507150094000.0,Bienes Durables,La Magdalena Contreras
110,2015.0,8.0,Pobreza muy alta,Hombre,30-44,1465.0,815202927500000.0,211479707250000.0,Bienes Durables,La Magdalena Contreras
111,2015.0,8.0,Pobreza muy alta,Mujer,12-29,2040.0,103841515256000.0,304158484744000.0,Bienes Durables,La Magdalena Contreras
112,2015.0,8.0,Pobreza muy alta,Mujer,30-44,1178.0,702407718103000.0,165359228190000.0,Bienes Durables,La Magdalena Contreras
113,2015.0,8.0,Pobreza muy alta,Mujer,No especificado,20.0,-211132832308000.0,611132832308000.0,Bienes Durables,La Magdalena Contreras
114,2015.0,8.0,Pobreza alta,Hombre,60 y mas,416.0,173106019181000.0,658893980819000.0,Bienes Durables,La Magdalena Contreras
115,2015.0,8.0,Pobreza alta,Mujer,12-29,1546.0,917306782374000.0,217469321763000.0,Bienes Durables,La Magdalena Contreras
116,2015.0,8.0,Pobreza alta,Mujer,30-44,1295.0,837647709721000.0,175235229028000.0,Bienes Durables,La Magdalena Contreras
117,2015.0,8.0,Pobreza alta,Mujer,45-59,900.0,4691824018450.0,13308175981600.0,Bienes Durables,La Magdalena Contreras
118,2015.0,8.0,Pobreza moderada,Hombre,0-11,4519.0,335674200293000.0,568125799707000.0,Bienes Durables,La Magdalena Contreras
119,2015.0,8.0,Pobreza moderada,Hombre,30-44,4911.0,331179002608000.0,651020997392000.0,Bienes Durables,La Magdalena Contreras
120,2015.0,8.0,Pobreza moderada,Hombre,60 y mas,2832.0,203042911613000.0,363357088387000.0,Bienes Durables,La Magdalena Contreras
121,2015.0,8.0,Pobreza moderada,Mujer,12-29,6949.0,489063502693000.0,900736497307000.0,Bienes Durables,La Magdalena Contreras
122,2015.0,8.0,Pobreza moderada,Mujer,30-44,5451.0,398780955867000.0,691419044133000.0,Bienes Durables,La Magdalena Contreras
123,2015.0,8.0,Satisfaccion mínima,Hombre,12-29,10764.0,816105297838000.0,133669470216000.0,Bienes Durables,La Magdalena Contreras
124,2015.0,8.0,Satisfaccion mínima,Hombre,60 y mas,3146.0,233467385349000.0,395732614651000.0,Bienes Durables,La Magdalena Contreras
125,2015.0,8.0,Satisfaccion mínima,Mujer,12-29,9997.0,779091404837000.0,122030859516000.0,Bienes Durables,La Magdalena Contreras
126,2015.0,8.0,Satisfaccion mínima,Mujer,30-44,8815.0,623395854059000.0,113960414594000.0,Bienes Durables,La Magdalena Contreras
127,2015.0,8.0,Satisfaccion mínima,Mujer,No especificado,35.0,-185122059116000.0,885122059116000.0,Bienes Durables,La Magdalena Contreras
128,2015.0,8.0,Estrato alto,Hombre,0-11,8790.0,68360209581700.0,107439790418000.0,Bienes Durables,La Magdalena Contreras
129,2015.0,8.0,Estrato alto,Hombre,30-44,11984.0,966697803842000.0,143010219616000.0,Bienes Durables,La Magdalena Contreras
130,2015.0,8.0,Estrato alto,Mujer,30-44,12863.0,101423737051000.0,155836262949000.0,Bienes Durables,La Magdalena Contreras
131,2015.0,8.0,Estrato alto,Mujer,No especificado,24.0,-147515521995000.0,627515521995000.0,Bienes Durables,La Magdalena Contreras
132,2015.0,9.0,Pobreza muy alta,Hombre,0-11,2468.0,165415954261000.0,328184045739000.0,Bienes Durables,Milpa Alta
133,2015.0,9.0,Pobreza muy alta,Hombre,45-59,1014.0,667653574327000.0,13603464256700.0,Bienes Durables,Milpa Alta
134,2015.0,9.0,Pobreza muy alta,Mujer,12-29,3346.0,232867705752000.0,436332294248000.0,Bienes Durables,Milpa Alta
135,2015.0,9.0,Pobreza alta,Hombre,0-11,1472.0,924049131492000.0,201995086851000.0,Bienes Durables,Milpa Alta
136,2015.0,9.0,Pobreza alta,Hombre,12-29,1985.0,115454890649000.0,281545109351000.0,Bienes Durables,Milpa Alta
137,2015.0,9.0,Pobreza alta,Hombre,30-44,1255.0,785420962040000.0,172457903796000.0,Bienes Durables,Milpa Alta
138,2015.0,9.0,Pobreza alta,Hombre,45-59,728.0,435914850690000.0,102008514931000.0,Bienes Durables,Milpa Alta
139,2015.0,9.0,Pobreza alta,Mujer,45-59,853.0,531206364193000.0,117479363581000.0,Bienes Durables,Milpa Alta
140,2015.0,9.0,Pobreza alta,Mujer,60 y mas,590.0,330818434161000.0,849181565839000.0,Bienes Durables,Milpa Alta
141,2015.0,9.0,Pobreza moderada,Hombre,0-11,3181.0,202944965730000.0,433255034270000.0,Bienes Durables,Milpa Alta
142,2015.0,9.0,Pobreza moderada,Hombre,30-44,2817.0,171857944529000.0,391542055471000.0,Bienes Durables,Milpa Alta
143,2015.0,9.0,Pobreza moderada,Mujer,0-11,2891.0,184714805689000.0,393485194311000.0,Bienes Durables,Milpa Alta
144,2015.0,9.0,Satisfaccion mínima,Hombre,0-11,2619.0,153828148957000.0,369971851043000.0,Bienes Durables,Milpa Alta
145,2015.0,9.0,Satisfaccion mínima,Hombre,30-44,2926.0,191002756415000.0,394197243585000.0,Bienes Durables,Milpa Alta
146,2015.0,9.0,Satisfaccion mínima,Hombre,60 y mas,817.0,449507851654000.0,118449214835000.0,Bienes Durables,Milpa Alta
147,2015.0,9.0,Satisfaccion mínima,Mujer,12-29,4652.0,30899306684900.0,62140693315100.0,Bienes Durables,Milpa Alta
148,2015.0,9.0,Estrato alto,Hombre,0-11,4581.0,314849816147000.0,601350183853000.0,Bienes Durables,Milpa Alta
149,2015.0,9.0,Estrato alto,Hombre,60 y mas,2255.0,16521296828500.0,28578703171500.0,Bienes Durables,Milpa Alta
150,2015.0,9.0,Estrato alto,Hombre,No especificado,14.0,-571958856474000.0,33719588564700.0,Bienes Durables,Milpa Alta
151,2015.0,9.0,Estrato alto,Mujer,30-44,6008.0,413414718513000.0,788185281487000.0,Bienes Durables,Milpa Alta
152,2015.0,9.0,Estrato alto,Mujer,60 y mas,2183.0,158367933268000.0,278232066732000.0,Bienes Durables,Milpa Alta
153,2015.0,9.0,Estrato alto,Mujer,No especificado,7.0,-980468869085000.0,238046886908000.0,Bienes Durables,Milpa Alta
154,2015.0,10.0,Pobreza muy alta,Hombre,0-11,2384.0,159873757876000.0,316926242124000.0,Bienes Durables,Álvaro Obregón
155,2015.0,10.0,Pobreza muy alta,Hombre,No especificado,73.0,-838355449018000.0,229835544902000.0,Bienes Durables,Álvaro Obregón
156,2015.0,10.0,Pobreza muy alta,Mujer,30-44,2427.0,162000722802000.0,323399277198000.0,Bienes Durables,Álvaro Obregón
157,2015.0,10.0,Pobreza alta,Hombre,12-29,3724.0,277114328002000.0,467685671998000.0,Bienes Durables,Álvaro Obregón
158,2015.0,10.0,Pobreza alta,Mujer,30-44,2366.0,166898280773000.0,306301719227000.0,Bienes Durables,Álvaro Obregón
159,2015.0,10.0,Pobreza moderada,Hombre,12-29,18823.0,142280720116000.0,234179279884000.0,Bienes Durables,Álvaro Obregón
160,2015.0,10.0,Pobreza moderada,Mujer,12-29,17810.0,139121992423000.0,217078007577000.0,Bienes Durables,Álvaro Obregón
161,2015.0,10.0,Pobreza moderada,Mujer,30-44,15599.0,121248277025000.0,190731722975000.0,Bienes Durables,Álvaro Obregón
162,2015.0,10.0,Satisfaccion mínima,Hombre,60 y mas,9684.0,775720822250000.0,116107917775000.0,Bienes Durables,Álvaro Obregón
163,2015.0,10.0,Satisfaccion mínima,Mujer,60 y mas,14522.0,120625942211000.0,169814057789000.0,Bienes Durables,Álvaro Obregón
164,2015.0,10.0,Estrato alto,Hombre,12-29,47969.0,403982588522000.0,555397411478000.0,Bienes Durables,Álvaro Obregón
165,2015.0,11.0,Pobreza muy alta,Hombre,0-11,2641.0,166696083651000.0,361503916349000.0,Bienes Durables,Tláhuac
166,2015.0,11.0,Pobreza muy alta,Hombre,30-44,2346.0,172899557357000.0,296300442643000.0,Bienes Durables,Tláhuac
167,2015.0,11.0,Pobreza muy alta,Mujer,12-29,3198.0,2133878721510.0,4262121278490.0,Bienes Durables,Tláhuac
168,2015.0,11.0,Pobreza muy alta,Mujer,30-44,2326.0,154754288397000.0,310445711603000.0,Bienes Durables,Tláhuac
169,2015.0,11.0,Pobreza muy alta,Mujer,45-59,1190.0,669722801742000.0,171027719826000.0,Bienes Durables,Tláhuac
170,2015.0,11.0,Pobreza muy alta,Mujer,60 y mas,878.0,394610122344000.0,136138987766000.0,Bienes Durables,Tláhuac
171,2015.0,11.0,Pobreza muy alta,Mujer,No especificado,14.0,-172560518687000.0,452560518687000.0,Bienes Durables,Tláhuac
172,2015.0,11.0,Pobreza alta,Hombre,12-29,2814.0,195018916509000.0,367781083491000.0,Bienes Durables,Tláhuac
173,2015.0,11.0,Pobreza alta,Hombre,60 y mas,941.0,564546413105000.0,131745358689000.0,Bienes Durables,Tláhuac
174,2015.0,11.0,Pobreza alta,Mujer,0-11,2292.0,143907235559000.0,314492764441000.0,Bienes Durables,Tláhuac
175,2015.0,11.0,Pobreza alta,Mujer,60 y mas,1372.0,762748221535000.0,198125177846000.0,Bienes Durables,Tláhuac
176,2015.0,11.0,Pobreza moderada,Hombre,12-29,11299.0,882660581258000.0,137713941874000.0,Bienes Durables,Tláhuac
177,2015.0,11.0,Pobreza moderada,Hombre,No especificado,56.0,-256353070418000.0,137635307042000.0,Bienes Durables,Tláhuac
178,2015.0,11.0,Pobreza moderada,Mujer,0-11,8353.0,63125521508900.0,103934478491000.0,Bienes Durables,Tláhuac
179,2015.0,11.0,Pobreza moderada,Mujer,12-29,11704.0,955018130575000.0,138578186942000.0,Bienes Durables,Tláhuac
180,2015.0,11.0,Satisfaccion mínima,Hombre,30-44,9228.0,732736293166000.0,111286370683000.0,Bienes Durables,Tláhuac
181,2015.0,11.0,Satisfaccion mínima,Hombre,No especificado,13.0,-14233510917500.0,40233510917500.0,Bienes Durables,Tláhuac
182,2015.0,11.0,Satisfaccion mínima,Mujer,45-59,8958.0,721119361358000.0,107048063864000.0,Bienes Durables,Tláhuac
183,2015.0,11.0,Estrato alto,Hombre,0-11,11568.0,979394541085000.0,133420545891000.0,Bienes Durables,Tláhuac
184,2015.0,11.0,Estrato alto,Hombre,30-44,17600.0,154269574993000.0,197730425007000.0,Bienes Durables,Tláhuac
185,2015.0,11.0,Estrato alto,Hombre,60 y mas,7528.0,631191359152000.0,874408640848000.0,Bienes Durables,Tláhuac
186,2015.0,11.0,Estrato alto,Mujer,12-29,22870.0,20147376290000.0,25592623710000.0,Bienes Durables,Tláhuac
187,2015.0,11.0,Estrato alto,Mujer,45-59,15434.0,135025350978000.0,173654649022000.0,Bienes Durables,Tláhuac
188,2015.0,12.0,Pobreza muy alta,Hombre,60 y mas,1260.0,930088579612000.0,158991142039000.0,Bienes Durables,Tlalpan
189,2015.0,12.0,Pobreza muy alta,Hombre,No especificado,5.0,-241469994930000.0,124146999493000.0,Bienes Durables,Tlalpan
190,2015.0,12.0,Pobreza alta,Hombre,45-59,1512.0,10648371223100.0,19591628776900.0,Bienes Durables,Tlalpan
191,2015.0,12.0,Pobreza alta,Mujer,30-44,3226.0,255364254300000.0,389835745700000.0,Bienes Durables,Tlalpan
192,2015.0,12.0,Pobreza alta,Mujer,No especificado,18.0,-981326527345000.0,458132652735000.0,Bienes Durables,Tlalpan
193,2015.0,12.0,Pobreza moderada,Hombre,30-44,11073.0,92894838372400.0,128565161628000.0,Bienes Durables,Tlalpan
194,2015.0,12.0,Pobreza moderada,Hombre,60 y mas,5187.0,428551970880000.0,608848029120000.0,Bienes Durables,Tlalpan
195,2015.0,12.0,Pobreza moderada,Mujer,0-11,11387.0,90908401373300.0,136831598627000.0,Bienes Durables,Tlalpan
196,2015.0,12.0,Pobreza moderada,Mujer,30-44,12547.0,103958886330000.0,146981113670000.0,Bienes Durables,Tlalpan
197,2015.0,12.0,Pobreza moderada,Mujer,45-59,8797.0,743851347702000.0,101554865230000.0,Bienes Durables,Tlalpan
198,2015.0,12.0,Pobreza moderada,Mujer,No especificado,9.0,-621589462895000.0,242158946289000.0,Bienes Durables,Tlalpan
199,2015.0,12.0,Satisfaccion mínima,Hombre,30-44,13715.0,117360017128000.0,156939982872000.0,Bienes Durables,Tlalpan
200,2015.0,12.0,Estrato alto,Hombre,12-29,49175.0,423533386064000.0,559966613936000.0,Bienes Durables,Tlalpan
201,2015.0,12.0,Estrato alto,Hombre,45-59,34322.0,297209827961000.0,389230172039000.0,Bienes Durables,Tlalpan
202,2015.0,12.0,Estrato alto,Mujer,0-11,25790.0,223096186774000.0,292703813226000.0,Bienes Durables,Tlalpan
203,2015.0,12.0,Estrato alto,Mujer,45-59,39613.0,342268233761000.0,449991766239000.0,Bienes Durables,Tlalpan
204,2015.0,12.0,Estrato alto,Mujer,No especificado,160.0,436632488186000.0,315633675118000.0,Bienes Durables,Tlalpan
205,2015.0,13.0,Pobreza muy alta,Hombre,0-11,3963.0,273339530316000.0,519260469684000.0,Bienes Durables,Xochimilco
